CIRCUITO,NODO1_ID,NODO2_ID,geometry
NSA23L14,19058093,19058094,"LINESTRING Z (-74.90531180400001 5.646552869000004 10, -74.900849602 5.645559303000027 10)"
FLR23L15,19057409,19057414,"LINESTRING Z (-74.98454366499999 5.525246927000012 10, -74.98156163800002 5.527918523999972 10)"
NSA23L12,84237917,84237922,"LINESTRING Z (-74.77949186000001 5.648791667000012 10, -74.77848261000003 5.649220416999981 10)"
NSA23L14,19057885,19057893,"LINESTRING Z (-74.93600154400002 5.591178825999975 10, -74.939225696 5.593009678999977 10)"
NSA23L14,19057858,19057860,"LINESTRING Z (-74.91147967500001 5.577362257999994 10, -74.911162655 5.576747512999987 10)"
FLR23L15,19057550,19057576,"LINESTRING Z (-74.955525599 5.52757546700002 10, -74.95419326899997 5.527650213000015 10)"
NSA23L14,19057859,19057862,"LINESTRING Z (-74.91032566199999 5.578466768999988 10, -74.91001469899999 5.581107873999997 10)"
NSA23L12,19060033,19061056,"LINESTRING Z (-74.78261600600001 5.638817386000028 10, -74.782598012 5.639035073999992 10)"
NSA23L12,19061245,19061246,"LINESTRING Z (-74.86529412200002 5.6220301500000005 10, -74.86145212999998 5.624073973000009 10)"
NSA23L13,19057825,19057801,"LINESTRING Z (-74.89382660500002 5.573185306000028 10, -74.89423957000002 5.573457931999997 10)"
NSA23L12,19061281,19061282,"LINESTRING Z (-74.84462795399998 5.665909741999997 10, -74.84388239499998 5.6669740140000044 10)"
NSA23L14,19058076,19058077,"LINESTRING Z (-74.92200353800001 5.657345089999978 10, -74.91960356300001 5.655785487000003 10)"
NSA23L12,19102394,19061460,"LINESTRING Z (-74.85661861699998 5.565133764999985 10, -74.85721745199999 5.566814034000004 10)"
NSA23L12,19061133,19061134,"LINESTRING Z (-74.86936427500001 5.586696933999974 10, -74.86964473799998 5.593668510999976 10)"
NSA23L14,19057857,19057864,"LINESTRING Z (-74.91149711100002 5.5772809939999775 10, -74.91696197599998 5.5804467350000095 10)"
FLR23L15,19100276,19057387,"LINESTRING Z (-74.993652623 5.5275924970000005 10, -74.99213651999997 5.527341354999976 10)"
FLR23L15,19057524,19057525,"LINESTRING Z (-75.008743718 5.627352522000024 10, -75.00975578100002 5.628128784000012 10)"
NSA23L14,19058020,19058021,"LINESTRING Z (-74.93246831200003 5.66246070599999 10, -74.933100696 5.6631832649999865 10)"
NSA23L12,19061475,19061476,"LINESTRING Z (-74.849472193 5.571349763000001 10, -74.85276038799998 5.572318242999984 10)"
FLR23L15,84271706,19057592,"LINESTRING Z (-75.04291131000002 5.521492895999984 10, -75.04403735300002 5.521623281000018 10)"
FLR23L15,19057418,19057429,"LINESTRING Z (-74.976388418 5.532510781999974 10, -74.975244095 5.5334799830000065 10)"
NSA23L12,19061310,19061311,"LINESTRING Z (-74.82824200099998 5.695128897000018 10, -74.82588711599999 5.694338976999973 10)"
NSA23L14,19102582,19057917,"LINESTRING Z (-74.94929338100002 5.596258907999982 16, -74.94916674500001 5.6023265649999985 10)"
NSA23L12,19061114,19061116,"LINESTRING Z (-74.86753043499999 5.578598118999992 10, -74.87365819600001 5.578047366000021 10)"
NSA23L12,19061606,19061607,"LINESTRING Z (-74.860949302 5.576920584999982 10, -74.86119369199997 5.576686568000014 10)"
NSA23L12,19061596,19061588,"LINESTRING Z (-74.85082503400002 5.557709498000008 10, -74.85085303099999 5.556262022999988 10)"
NSA23L12,19061203,19061204,"LINESTRING Z (-74.86009281100002 5.588091437999992 10, -74.85915035099998 5.589277928000001 10)"
