CIRCUITO,geometry
NSA23L12,POINT Z (-74.84025784599999 5.549649076000037 5)
FLR23L15,POINT Z (-74.99417463899994 5.549987858000065 5)
NSA23L12,POINT Z (-74.84882195599994 5.55030318200005 5)
NSA23L12,POINT Z (-74.83829230699996 5.550480159000074 5)
NSA23L12,POINT Z (-74.85252604799996 5.550485240000057 5)
FLR23L15,POINT Z (-74.99723435299995 5.5506520300000375 5)
FLR23L15,POINT Z (-74.98187542999995 5.550658193000061 5)
NSA23L12,POINT Z (-74.85163291699996 5.551045722000026 5)
NSA23L12,POINT Z (-74.85156953099994 5.551114157000029 7.5)
NSA23L12,POINT Z (-74.83640891299996 5.5512898590000646 5)
NSA23L12,POINT Z (-74.82710466899994 5.55153272900003 5)
FLR23L15,POINT Z (-74.97466703799995 5.551997995000022 5)
FLR23L15,POINT Z (-74.98128241199998 5.552060413000049 5)
FLR23L15,POINT Z (-74.98118342799995 5.552250739000044 7.5)
NSA23L12,POINT Z (-74.82871608599999 5.5522861510000325 5)
FLR23L15,POINT Z (-74.98108396099997 5.552322680000032 5)
NSA23L14,POINT Z (-74.92197617599999 5.552436636000039 4.5)
FLR23L15,POINT Z (-74.97932427199999 5.552587525000035 5)
FLR23L15,POINT Z (-74.98011854899994 5.552677105000043 5)
NSA23L12,POINT Z (-74.82972244799998 5.552783352000063 5)
NSA23L12,POINT Z (-74.83135017899997 5.553042564000066 5)
NSA23L12,POINT Z (-74.85296831599999 5.553507678000074 5)
NSA23L12,POINT Z (-74.85341133599997 5.554411153000046 5)
NSA23L12,POINT Z (-74.85376507099994 5.555315195000048 5)
NSA23L12,POINT Z (-74.85085303099999 5.556262023000045 5)
NSA23L12,POINT Z (-74.85373037999994 5.556626203000064 5)
NSA23L12,POINT Z (-74.85082503399997 5.557709498000065 5)
FLR23L15,POINT Z (-74.97878274299995 5.558031198000037 7.5)
FLR23L15,POINT Z (-74.97905139599999 5.558065592000048 5)
NSA23L12,POINT Z (-74.85249688999994 5.5584775600000285 5)
NSA23L12,POINT Z (-74.85302900999994 5.558710894000058 7.5)
FLR23L15,POINT Z (-74.97845824499996 5.558737626000038 5)
NSA23L12,POINT Z (-74.85244512799994 5.56048880000003 5)
FLR23L15,POINT Z (-74.98607050499999 5.560540461000073 5)
FLR23L15,POINT Z (-74.98725465399997 5.560823003000053 5)
FLR23L15,POINT Z (-74.98835139099998 5.561084448000031 5)
FLR23L15,POINT Z (-74.98854980499993 5.561598448000041 5)
NSA23L12,POINT Z (-74.86033427699994 5.562023988000021 5)
NSA23L12,POINT Z (-74.85197780299995 5.56220750500006 5)
NSA23L12,POINT Z (-74.85975766099995 5.562830550000058 5)
FLR23L15,POINT Z (-74.99065872699998 5.563334691000023 5)
NSA23L12,POINT Z (-74.85151055999995 5.563664163000055 7.5)
NSA23L12,POINT Z (-74.85156463999994 5.563672500000052 5)
NSA23L14,POINT Z (-74.92471716799997 5.5637893060000465 5)
FLR23L15,POINT Z (-74.98950521999996 5.564077046000023 7.5)
NSA23L12,POINT Z (-74.85793660099995 5.56408060900003 5)
NSA23L12,POINT Z (-74.85114170999998 5.564378425000029 5)
NSA23L12,POINT Z (-74.85525689899998 5.564626214000043 5)
NSA23L14,POINT Z (-74.92485411099995 5.564819971000077 5)
FLR23L15,POINT Z (-74.97588669599998 5.564862650000066 5)
NSA23L14,POINT Z (-74.92475540499998 5.564928952000059 5)
NSA23L12,POINT Z (-74.85673430899999 5.565066431000048 7.5)
NSA23L12,POINT Z (-74.85661861699998 5.565133765000041 5)
NSA23L14,POINT Z (-74.92522448999995 5.56539876100004 5)
NSA23L12,POINT Z (-74.83422523399997 5.565874674000042 5)
FLR23L15,POINT Z (-74.99068835399999 5.5659256770000525 5)
NSA23L12,POINT Z (-74.83306834999996 5.566771147000054 5)
NSA23L12,POINT Z (-74.85721745199999 5.5668140340000605 5)
NSA23L14,POINT Z (-74.90526943899994 5.566974543000072 5)
NSA23L12,POINT Z (-74.84949341699996 5.567401078000046 5)
FLR23L15,POINT Z (-74.96526664799995 5.567562747000068 5)
FLR23L15,POINT Z (-74.99119830899997 5.567611967000062 5)
NSA23L12,POINT Z (-74.85817817499998 5.567713142000059 5)
NSA23L12,POINT Z (-74.84893563699995 5.568468835000033 5)
NSA23L12,POINT Z (-74.83041720499995 5.568582671000058 5)
FLR23L15,POINT Z (-74.97398932199997 5.569331800000043 7.5)
NSA23L12,POINT Z (-74.84826003299997 5.569689757000049 5)
NSA23L12,POINT Z (-74.85036216599997 5.569724836000034 5)
NSA23L14,POINT Z (-74.90253494299998 5.569892226000036 5)
FLR23L15,POINT Z (-74.97918833999995 5.570038089000036 5)
FLR23L15,POINT Z (-74.97817802199995 5.570076050000068 5)
NSA23L14,POINT Z (-74.93530257299994 5.570094820000065 5)
FLR23L15,POINT Z (-74.97683349799996 5.570250174000023 5)
FLR23L15,POINT Z (-74.97647265199998 5.570268765000037 5)
FLR23L15,POINT Z (-74.97359361999997 5.570272923000061 5)
NSA23L14,POINT Z (-74.93263197799996 5.570342621000066 5)
NSA23L14,POINT Z (-74.93031336599995 5.570526632000053 5)
NSA23L14,POINT Z (-74.93027725699994 5.570535536000023 7.5)
NSA23L14,POINT Z (-74.89120765799998 5.5705824930000745 5)
NSA23L13,POINT Z (-74.89224060099997 5.570631161000051 5)
NSA23L12,POINT Z (-74.84769329699998 5.57073940500004 7.5)
NSA23L12,POINT Z (-74.84771917799998 5.570811792000029 5)
NSA23L13,POINT Z (-74.89273573199995 5.5708778870000515 5)
NSA23L13,POINT Z (-74.89182352499995 5.5709820270000705 5)
FLR23L15,POINT Z (-74.97957808499996 5.571023592000074 5)
NSA23L14,POINT Z (-74.92608152899999 5.571274740000035 5)
NSA23L12,POINT Z (-74.84947219299994 5.5713497630000575 7.5)
NSA23L14,POINT Z (-74.92589240099994 5.571446645000037 5)
NSA23L12,POINT Z (-74.84725200999998 5.571526579000022 7.5)
FLR23L15,POINT Z (-74.97300956599997 5.571675151000022 7.5)
NSA23L13,POINT Z (-74.89285410699995 5.5717909970000505 5)
NSA23L12,POINT Z (-74.82839093299998 5.571840513000041 5)
NSA23L13,POINT Z (-74.89080564099999 5.571857474000069 5)
FLR23L15,POINT Z (-74.98002217599998 5.571945129000028 5)
FLR23L15,POINT Z (-74.98008770599995 5.572033020000049 5)
NSA23L14,POINT Z (-74.89375680799998 5.572305811000035 7.5)
NSA23L12,POINT Z (-74.85276038799998 5.572318243000041 5)
NSA23L13,POINT Z (-74.89311622099996 5.57236939400002 7)
NSA23L14,POINT Z (-74.89311622099996 5.57236939400002 7)
NSA23L13,POINT Z (-74.89052471899998 5.572460055000022 5)
NSA23L14,POINT Z (-74.89649985299997 5.5726982400000225 5)
FLR23L15,POINT Z (-74.96889732099999 5.5727583740000455 5)
NSA23L14,POINT Z (-74.89340156699996 5.572763536000025 5)
NSA23L14,POINT Z (-74.89620195999998 5.572769422000022 5)
NSA23L13,POINT Z (-74.89351021699997 5.572893160000035 5)
NSA23L14,POINT Z (-74.89438717599995 5.57296834400006 5)
NSA23L13,POINT Z (-74.89026717799999 5.573080795000067 5)
NSA23L14,POINT Z (-74.88800626499994 5.573157950000052 5)
NSA23L13,POINT Z (-74.89382660499996 5.573185306000028 5)
NSA23L14,POINT Z (-74.89276682799994 5.573195823000049 5)
NSA23L14,POINT Z (-74.89587027699997 5.573197421000032 7.5)
NSA23L12,POINT Z (-74.85419279699994 5.573215529000038 5)
FLR23L15,POINT Z (-74.97229849299998 5.573285672000054 5)
NSA23L14,POINT Z (-74.93845654599994 5.573344125000062 5)
NSA23L14,POINT Z (-74.93851691899994 5.5733597070000656 5)
NSA23L14,POINT Z (-74.89247662099996 5.573383603000025 5)
NSA23L13,POINT Z (-74.88788588399996 5.57344944700003 5)
NSA23L13,POINT Z (-74.89423956999997 5.5734579320000535 5)
NSA23L13,POINT Z (-74.89015015099994 5.573507777000032 5)
NSA23L13,POINT Z (-74.88806827399998 5.57357819200007 5)
NSA23L12,POINT Z (-74.84614485199995 5.573580788000072 5)
NSA23L14,POINT Z (-74.88743258999995 5.573625886000059 5)
NSA23L14,POINT Z (-74.90835428399998 5.573750602000075 6)
NSA23L13,POINT Z (-74.88823993499994 5.573841048000077 5)
NSA23L12,POINT Z (-74.82546024599998 5.573869599000034 5)
NSA23L13,POINT Z (-74.88907535099997 5.573921251000058 5)
NSA23L14,POINT Z (-74.90241362499995 5.573930141000062 5)
NSA23L14,POINT Z (-74.90291450599995 5.574043989000074 5)
NSA23L13,POINT Z (-74.88791270599995 5.574066353000035 5)
NSA23L12,POINT Z (-74.88677478599999 5.574113279000073 5)
NSA23L13,POINT Z (-74.88963553299999 5.574137499000074 5)
NSA23L13,POINT Z (-74.88879943599994 5.574146130000031 5)
NSA23L13,POINT Z (-74.88693062499993 5.5741644640000345 7.666700000001583)
NSA23L14,POINT Z (-74.88693062499993 5.5741644640000345 7.666700000001583)
NSA23L14,POINT Z (-74.90469994699998 5.574240881000037 5)
NSA23L13,POINT Z (-74.88773031599999 5.574270201000047 5)
NSA23T11,POINT Z (-74.88691666899996 5.574279174000026 5)
NSA23L13,POINT Z (-74.88717174999994 5.574321691000023 5)
NSA23L14,POINT Z (-74.90627674199999 5.5743583050000325 5)
NSA23T15,POINT Z (-74.88688642799997 5.5744082790000675 3.3332999999984168)
NSA23T15,POINT Z (-74.88688642799997 5.5744082790000675 3.3332999999984168)
NSA23L13,POINT Z (-74.89026749699997 5.574453413000072 5)
FLR23L15,POINT Z (-74.97182256899998 5.574462365000045 7.5)
NSA23L13,POINT Z (-74.88844910499995 5.574494529000049 5)
NSA23L12,POINT Z (-74.84537840199994 5.574495035000041 5)
NSA23L13,POINT Z (-74.89417071199995 5.5745167350000315 5)
NSA23L13,POINT Z (-74.89005710099997 5.574521305000076 5)
NSA23L13,POINT Z (-74.89529054099995 5.57460855100004 5)
NSA23L13,POINT Z (-74.88746102099998 5.574629101000028 8)
NSA23L13,POINT Z (-74.88907617099994 5.5746721710000315 5)
NSA23L13,POINT Z (-74.89443331899997 5.574719222000056 5)
NSA23L14,POINT Z (-74.93407535599994 5.574726110000029 5)
NSA23L13,POINT Z (-74.88824170099997 5.574728701000026 7.5)
NSA23L13,POINT Z (-74.89669154899997 5.574759241000038 5)
NSA23L13,POINT Z (-74.88964814799994 5.574869487000058 5)
NSA23L12,POINT Z (-74.84539284599998 5.574967675000039 5)
NSA23L14,POINT Z (-74.94895548699998 5.574975434000066 5)
NSA23L13,POINT Z (-74.88704034199998 5.574977236000052 5)
FLR23L15,POINT Z (-74.97279745499998 5.57500264600003 5)
NSA23L13,POINT Z (-74.89508156199997 5.575024350000035 5)
NSA23L13,POINT Z (-74.88866537699994 5.575030285000025 5)
NSA23L13,POINT Z (-74.88789506399996 5.575053618000027 8)
NSA23L13,POINT Z (-74.89615269799998 5.575114176000056 5)
NSA23L14,POINT Z (-74.94156447999995 5.57512119200004 5)
NSA23L13,POINT Z (-74.89793027099995 5.57513885000003 5)
NSA23L13,POINT Z (-74.89787971399994 5.5751522170000385 5)
NSA23L14,POINT Z (-74.91039371799997 5.575166913000032 5)
NSA23L13,POINT Z (-74.89492741699996 5.575246071000038 5)
NSA23L13,POINT Z (-74.88666264799997 5.575407762000054 5)
NSA23L13,POINT Z (-74.88904178599995 5.57543109300002 5)
NSA23L13,POINT Z (-74.88829222999993 5.57545089000007 5)
NSA23L14,POINT Z (-74.92191830499996 5.5754578420000485 5)
NSA23L14,POINT Z (-74.92176531699994 5.5756118040000615 7.5)
NSA23L13,POINT Z (-74.88846021899997 5.5756304350000505 5)
NSA23L13,POINT Z (-74.88866369799996 5.575725171000045 5)
NSA23L13,POINT Z (-74.88865346099993 5.57581007400006 7.5)
NSA23L14,POINT Z (-74.93301773899998 5.5758698930000605 7)
NSA23L13,POINT Z (-74.88653008699998 5.5758879980000415 5)
NSA23L13,POINT Z (-74.88985351299993 5.5759139470000605 5)
NSA23L13,POINT Z (-74.88959552799997 5.575924733000022 5)
NSA23L13,POINT Z (-74.89006988699998 5.575936441000067 5)
NSA23L13,POINT Z (-74.89903998999995 5.576014978000046 5)
NSA23L12,POINT Z (-74.82405495299997 5.576041865000036 5)
NSA23L13,POINT Z (-74.88879503799996 5.576059101000055 5)
NSA23L12,POINT Z (-74.85376247199997 5.576118103000056 5)
FLR23L15,POINT Z (-74.97474880399994 5.576148276000026 5)
NSA23L13,POINT Z (-74.88906970899995 5.576169464000031 5.5)
NSA23L12,POINT Z (-74.88440408299994 5.576188197000022 5)
NSA23L13,POINT Z (-74.88897576499994 5.576208874000031 5)
NSA23L13,POINT Z (-74.88610582199993 5.576229794000028 5)
NSA23L14,POINT Z (-74.92157852299994 5.576377414000035 5)
NSA23L13,POINT Z (-74.89957966099996 5.576414581000051 5)
NSA23L12,POINT Z (-74.86119369199997 5.576686568000071 5)
FLR23L15,POINT Z (-74.97091446699994 5.576687580000055 5)
