CIRCUITO,geometry
FLR23L15,POINT Z (-75.01252177499998 5.493322352999996 0)
NSA23L14,POINT Z (-74.932411591 5.697216845000014 0)
FLR23L15,POINT Z (-74.98607230200003 5.560542274999989 0)
FLR23L15,POINT Z (-75.02885071399999 5.502817118999985 0)
NSA23L13,POINT Z (-74.88907535099997 5.573921251000002 0)
NSA23L14,POINT Z (-74.95059067900002 5.716651739999975 0)
NSA23L14,POINT Z (-74.92757084700003 5.628073004999976 0)
NSA23L14,POINT Z (-74.98406623699998 5.710064317999979 0)
NSA23L14,POINT Z (-74.98205949999999 5.632086304999973 0)
NSA23L12,POINT Z (-74.836202491 5.697723488000008 0)
FLR23L15,POINT Z (-74.98241571599999 5.525873793000017 0)
NSA23L12,POINT Z (-74.80359074500001 5.6669424390000245 0)
NSA23L12,POINT Z (-74.84539284599998 5.574967674999982 0)
NSA23L12,POINT Z (-74.85467161000003 5.7163715830000115 0)
NSA23L14,POINT Z (-74.97422835600003 5.615435733000027 0)
FLR23L15,POINT Z (-74.96358066800002 5.5492229189999875 0)
NSA23L13,POINT Z (-74.897930271 5.5751388499999734 0)
NSA23L14,POINT Z (-74.90050151499997 5.613129184000002 0)
NSA23L14,POINT Z (-74.96243584899997 5.715737712000021 0)
FLR23L15,POINT Z (-74.95191480300002 5.51790047999998 0)
NSA23L14,POINT Z (-74.95038330099999 5.681167691999974 0)
NSA23L14,POINT Z (-74.937563593 5.629234005000001 0)
FLR23L15,POINT Z (-75.02079792199999 5.523454441000013 0)
NSA23L12,POINT Z (-74.85434983900001 5.579400433999979 0)
NSA23L14,POINT Z (-74.934975667 5.661588938000023 0)
NSA23L12,POINT Z (-74.86329355499998 5.73400643399998 0)
NSA23L12,POINT Z (-74.85278182500002 5.685963314999981 0)
NSA23L14,POINT Z (-74.94281899200001 5.691714353999998 0)
FLR23L15,POINT Z (-74.98808445399999 5.5921044329999745 0)
NSA23L14,POINT Z (-74.92948367899999 5.724179913 0)
NSA23L14,POINT Z (-74.94041454 5.676916146999986 0)
NSA23L14,POINT Z (-74.91990280099998 5.61123042600002 0)
NSA23L14,POINT Z (-74.92508914000001 5.658647890999987 0)
NSA23L14,POINT Z (-74.98239213199997 5.689872647000016 0)
NSA23L13,POINT Z (-74.88746102099998 5.574629101000028 0)
NSA23L12,POINT Z (-74.87374395 5.6164687759999765 0)
FLR23L15,POINT Z (-74.979414437 5.534504206999998 0)
