CIRCUITO,geometry
NSA23L14,POINT Z (-74.916985254 5.580442018999975 10)
NSA23L12,POINT Z (-74.86758318800003 5.5787742769999795 0)
FLR23L15,POINT Z (-75.006674949 5.620582786999989 0)
NSA23L12,POINT Z (-74.86753235399999 5.578695449999998 0)
NSA23L14,POINT Z (-74.94842521499999 5.617242475000012 0)
NSA23L12,POINT Z (-74.881457249 5.7232976430000235 10)
NSA23L12,POINT Z (-74.85575314099998 5.5472706740000035 10)
NSA23L14,POINT Z (-74.94227894599999 5.6406443199999785 0)
FLR23L15,POINT Z (-74.97908923199998 5.558078378000005 0)
NSA23L12,POINT Z (-74.80947758600001 5.597703337999974 0)
NSA23L12,POINT Z (-74.85147687800003 5.551086811999994 10)
NSA23L14,POINT Z (-74.92682375300001 5.586110931000007 0)
NSA23L14,POINT Z (-74.93977177400001 5.680071931999976 10)
NSA23L14,POINT Z (-74.93247609600002 5.661575153999991 0)
NSA23L12,POINT Z (-74.866447929 5.646244220000028 0)
NSA23T15,POINT Z (-74.887029284 5.574404109999989 0)
NSA23L12,POINT Z (-74.78092347 5.645797357999982 10)
NSA23L14,POINT Z (-74.936605563 5.669543929999975 0)
NSA23L14,POINT Z (-74.93237046600001 5.66159915999998 0)
NSA23L14,POINT Z (-74.93585251600001 5.6517920279999885 0)
NSA23L12,POINT Z (-74.86741061800001 5.578605330000016 0)
NSA23L12,POINT Z (-74.85156534100003 5.711958784999979 10)
NSA23L14,POINT Z (-74.935057213 5.688548910000009 0)
NSA23L14,POINT Z (-74.94934690299999 5.609596309999972 0)
NSA23L12,POINT Z (-74.87543409199998 5.578033249999976 0)
FLR23L15,POINT Z (-75.03414589900001 5.513009378999982 0)
FLR23L15,POINT Z (-74.99593943500003 5.610281282000017 0)
NSA23L12,POINT Z (-74.829686928 5.695634234000011 0)
FLR23L15,POINT Z (-74.98443803800001 5.525277279000022 0)
NSA23L12,POINT Z (-74.78055426700001 5.6451974259999815 0)
NSA23L14,POINT Z (-74.94028315999998 5.59365333300002 0)
FLR23L15,POINT Z (-74.961696217 5.532640958999991 0)
NSA23L12,POINT Z (-74.81487209699998 5.587323960999981 0)
NSA23L13,POINT Z (-74.88705329200002 5.574162209999997 0)
NSA23L14,POINT Z (-74.909299987 5.657106966000015 0)
NSA23L14,POINT Z (-74.93010500399998 5.701958319000028 0)
NSA23L12,POINT Z (-74.88435986000002 5.576196164999999 0)
NSA23L13,POINT Z (-74.885726997 5.577933528000017 0)
NSA23L12,POINT Z (-74.82317115900003 5.578389615999981 0)
NSA23L12,POINT Z (-74.82237222399999 5.638109337000003 0)
FLR23L15,POINT Z (-74.99371820699997 5.527665023999987 0)
FLR23L15,POINT Z (-74.96244872599999 5.587233738000009 0)
NSA23L12,POINT Z (-74.84950104299998 5.680871240999977 10)
FLR23L15,POINT Z (-74.97403165499998 5.569348218000016 0)
NSA23L14,POINT Z (-74.949294447 5.596213728999999 0)
NSA23L12,POINT Z (-74.86752147800001 5.57874941 0)
NSA23L14,POINT Z (-74.89995175400003 5.606460098000014 0)
FLR23L15,POINT Z (-75.01024669600002 5.5174541869999985 0)
NSA23L12,POINT Z (-74.827468189 5.695309509000026 10)
NSA23L14,POINT Z (-74.899554282 5.599592465000001 10)
NSA23L12,POINT Z (-74.86539259699998 5.622225705000005 0)
NSA23L14,POINT Z (-74.93663513500002 5.669498469000018 0)
FLR23L15,POINT Z (-74.99575531599999 5.611580134999997 0)
FLR23L15,POINT Z (-75.014286233 5.500774099000012 0)
FLR23L15,POINT Z (-75.00799347600002 5.536715055000002 0)
NSA23L12,POINT Z (-74.859311214 5.578904152999996 0)
NSA23L12,POINT Z (-74.85584369399999 5.5931644749999805 0)
NSA23L12,POINT Z (-74.83474704000002 5.580671284000005 0)
FLR23L15,POINT Z (-75.022753593 5.522048728000016 0)
NSA23L12,POINT Z (-74.792723126 5.612489316999984 10)
NSA23L14,POINT Z (-74.936668167 5.669620153999972 0)
NSA23L12,POINT Z (-74.860669626 5.721302336000008 0)
NSA23L14,POINT Z (-74.936598893 5.669610632999991 0)
FLR23L15,POINT Z (-75.04296319999997 5.521498903999998 0)
NSA23L13,POINT Z (-74.89311618800002 5.572378429000025 0)
NSA23L14,POINT Z (-74.93650382599998 5.668903376000003 0)
NSA23L14,POINT Z (-74.89311618900001 5.572343429 0)
